,ID,Название,Модель,Категория,Изображения,Базовая цена,Цена со скидкой
10,10030234,Телевизор Haier 55 Smart TV MX,55 Smart TV MX,4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10030234.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030234b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030234b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030234b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030234b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030234b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030234b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030234b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030234b7.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030234s.jpg",39999,39999
11,10021227,Телевизор Витязь 32LH0202,32LH0202,ЖК LED-телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10021227.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10021227b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10021227s.jpg",8299,6999
12,10026760,Телевизор Haier 65 Smart TV MX,65 Smart TV MX,4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10026760.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026760b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026760b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026760b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026760b21.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026760b22.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026760b23.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026760b24.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026760b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026760b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026760b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026760b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026760s.jpg",59999,59999
13,10029722,Телевизор Hisense 43A5730FA,43A5730FA,ЖК LED-телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10029722.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029722b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029722b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029722b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029722b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029722b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029722b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029722b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029722b7.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029722b8.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029722s.jpg",22499,22499
14,10030411,Телевизор Hisense 50A6BG,50A6BG,4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10030411.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030411b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030411b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030411b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030411b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030411b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030411b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030411b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030411s.jpg",34999,28999
15,10031347,Телевизор Artel UA32H3200,UA32H3200,ЖК LED-телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10031347.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031347b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031347b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031347b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031347b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031347b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031347b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031347b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031347b7.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031347s.jpg",19999,19999
16,10030410,Телевизор Hisense 43A6BG,43A6BG,4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10030410.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030410b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030410b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030410b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030410b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030410s.jpg",24999,19999
17,10029740,Телевизор Toshiba 65C350KE,65C350KE,4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10029740.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029740b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029740b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029740b10.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029740b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029740b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029740b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029740b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029740b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029740b7.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029740b8.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029740b9.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10029740s.jpg",69999,69999
18,10026498,Телевизор Haier 50 Smart TV MX,50 Smart TV MX,4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10026498.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026498b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026498b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026498b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026498b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026498b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026498b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026498b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026498b7.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026498b8.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10026498s.jpg",33999,33999
19,10030412,Телевизор Hisense 55A6BG,55A6BG,4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10030412.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030412b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030412b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030412b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030412b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030412b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030412b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030412b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030412s.jpg",39999,33999
