name,status,publisher,price_old,price_new,discount,authors,img_url
Обработка естественного языка. Python и spaCy на практике,На складе,Питер:            Библиотека программиста,1992,1554,22,Васильев Юрий,https://img3.labirint.ru/rc/c55de6c264384858ea7d070c668bd942/220x340q80/books81/800781/cover.jpg?1618576169
Python для финансовых расчетов,На складе,Диалектика:            Самоучитель,12960,7128,45,Хилпиш Ив,https://img4.labirint.ru/rc/ed8fd09b85dad4b63bc6e362174921a8/220x340q80/books80/799392/cover.jpg?1617873994
Разработка и анализ компьютерных алгоритмов,На складе,Вильямс,3976,2187,45,Ахо Альфред В. и др.,https://img3.labirint.ru/rc/8ba2e984ff5c07e40a742591c81af905/220x340q80/books80/799393/cover.jpg?1617873995
Научное программирование на Python,На складе,ДМК-Пресс,4306,2368,45,Хилл Кристиан,https://img3.labirint.ru/rc/0a2d8b4f460af23fbd35c6c408e4a3ed/220x340q80/books80/799449/cover.jpg?1618241169
C#. Алгоритмы и структуры данных (+CD). СПО,Ограничено,Лань:            Компьютеры и программное обеспечение,2460,1353,45,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",https://img4.labirint.ru/rc/2cfe2e225b2ecbb643de182c5112b4a6/220x340q80/books80/798964/cover.jpg?1618576126
C#. Программирование 2D и 3D векторной графики +CD. СПО,На складе,Лань:            Компьютеры и программное обеспечение,2852,1569,45,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",https://img4.labirint.ru/rc/3248cb687b2bfbe826831aaff729c89e/220x340q80/books80/798966/cover.jpg?1618576128
Алгоритмизация и программирование. Практикум. СПО,На складе,Лань:            Компьютеры и программное обеспечение,2237,1230,45,Андрианова Анастасия Александровна,https://img4.labirint.ru/rc/5f055a08e324b2e412e64c8a50bd0c6d/220x340q80/books80/798968/cover.jpg?1618133124
Организация беспроводных Ad Hoc и Hot Spot сетей в среде ОС Windows,На складе,Лань:            Компьютеры и программное обеспечение,2254,1240,45,"Заяц Анатолий Моисеевич, Хабаров Сергей Петрович",https://img4.labirint.ru/rc/8ff62e53d7c05e798f63067257f4f92c/220x340q80/books80/798992/cover.jpg?1618226778
Построение распределенных систем на базе WebSocket. Учебное пособие,Ограничено,Лань:            Компьютеры и программное обеспечение,2124,1168,45,"Хабаров Сергей Петрович, Шилкина Мария Львовна",https://img3.labirint.ru/rc/7b2d96c90a01773fdcf83eba6cd0162a/220x340q80/books80/799003/cover.jpg?1618215956
Практическое введение в язык программирования Си. СПО,На складе,Лань:            Компьютеры и программное обеспечение,1439,791,45,"Солдатенко Илья Сергеевич, Попов Иван Владимирович",https://img3.labirint.ru/rc/04e2d2141183c25cb1f210e84d5e23ae/220x340q80/books80/799005/cover.jpg?1618226780
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку. СПО,Ограничено,Лань:            Компьютеры и программное обеспечение,1638,901,45,"Заяц Анатолий Моисеевич, Васильев Николай Павлович",https://img4.labirint.ru/rc/5b1ff131af8ee2d7584a5186595c3def/220x340q80/books80/799008/cover.jpg?1618226782
Простой Python для опытных программистов,На складе,Солон-пресс:            Программирование,1347,741,45,Гаско Рик,https://img4.labirint.ru/rc/6570bb4e75de33e3486c9580073a5d63/220x340q80/books80/798004/cover.jpg?1619256322
Профессиональная разработка на Python,На складе,ДМК-Пресс,5116,2814,45,Уилкс Мэттью,https://img3.labirint.ru/rc/74b1375d6dc07538313b9c7a272e9472/220x340q80/books80/798005/cover.jpg?1617456349
Программируй & типизируй,На складе,Питер:            Библиотека программиста,2872,2240,22,Ришкуция Влад,https://img4.labirint.ru/rc/85a8f6f6b0743f711d98a2bc42fbe6df/220x340q80/books80/797544/cover.jpg?1617020765
Основы Python. Научитесь мыслить как программист,На складе,"Манн, Иванов и Фербер",2001,1461,27,Дауни Аллен Б.,https://img4.labirint.ru/rc/8caea3d0f99081eb80d37511a508d1f7/220x340q80/books80/792480/cover.jpg?1616685903
SimInTech. Преобразователи автономных источников электроэнергии,На складе,ДМК-Пресс,2018,1110,45,"Калачёв Юрий Николаевич, Александров А. Г.",https://img4.labirint.ru/rc/ccc5cd567c9204e2fc131fbb0f60ffcb/220x340q80/books80/796696/cover.jpg?1616765124
JavaScript. Готовые программы. Учебное пособие,Ограничено,Лань:            Компьютеры и программное обеспечение,1896,1043,45,Янцев Валерий Викторович,https://img3.labirint.ru/rc/cdda3c8d903a49b7ee2a4a6bb68dfce4/220x340q80/books80/795547/cover.jpg?1616480712
JavaScript. Готовые программы. СПО,На складе,Лань:            Компьютеры и программное обеспечение,1953,1074,45,Янцев Валерий Викторович,https://img4.labirint.ru/rc/e39b80d76a4e0eb2d76eefd55a26e926/220x340q80/books80/795550/cover.jpg?1616480713
TypeScript быстро,На складе,Питер:            Для профессионалов,3199,2495,22,"Файн Яков, Моисеев Антон",https://img3.labirint.ru/rc/b3a0d5ec92422438041be02267c5a7a4/220x340q80/books80/795975/cover.jpg?1616070312
C# 8 и .NET Core. Разработка и оптимизация,На складе,Питер:            Для профессионалов,4432,3457,22,Прайс Марк Дж.,https://img3.labirint.ru/rc/5deb4054beb174ec9548381035706d7e/220x340q80/books80/794053/cover.jpg?1615304305
Разработка базы данных в Access. Учебное пособие,На складе,Прометей,648,356,45,Волик Мария Владимировна,https://img4.labirint.ru/rc/960e98aae716f1ee774fa4d0942a6a83/220x340q80/books80/792514/cover.jpg?1617193537
Основы программирования на языке С. Учебное пособие,На складе,ИНФРА-М:            Высшее образование. Бакалавриат,3240,1782,45,"Гагарина Лариса Геннадьевна, Дорогова Екатерина Георгиевна",https://img4.labirint.ru/rc/e0b7dced48debb833fd72bff188e9b42/220x340q80/books80/793210/cover.jpg?1615994703
Python. Быстрый старт,На складе,Питер:            Библиотека программиста,1381,1077,22,Чан Джейми,https://img3.labirint.ru/rc/52d71c9774961ff23336d70f74c7eb16/220x340q80/books80/793071/cover.jpg?1614774311
C++ для профи,На складе,Питер:            Для профессионалов,4181,3261,22,Лоспинозо Джош,https://img4.labirint.ru/rc/6ca1d32af9f8be4fd85656042fce68e0/220x340q80/books80/791594/cover.jpg?1621956382
Интеллектуальные информационные системы и методы искусственного интеллекта. Учебник,На складе,ИНФРА-М:            Высшее образование. Магистратура,6169,3393,45,"Андрейчиков Александр Валентинович, Андрейчикова Ольга Николаевна",https://img4.labirint.ru/rc/ef5a57a54f09b72f6a2d3f3560c80f3b/220x340q80/books80/790710/cover.jpg?1615303707
Инструментальные средства разработки программного обеспечения Системы Fossil,На складе,Лань:            Компьютеры и программное обеспечение,2997,1648,45,Орещенков Игорь Сергеевич,https://img4.labirint.ru/rc/411e11d76afe1dc18d896a2e73dcff0f/220x340q80/books79/789436/cover.jpg?1613579114
"Эффективный Java. Тюнинг кода на Java 8, 11 и дальше",На складе,Питер:            Бестселлеры O`Reilly,4159,3244,22,Оукс Скотт,https://img4.labirint.ru/rc/2f6d8e2f644e8fdc90aeb1a5d7c75276/220x340q80/books79/789634/cover.jpg?1613118325
Python. Сборник упражнений,На складе,ДМК-Пресс,1883,1036,45,Стивенсон Бен,https://img4.labirint.ru/rc/c5667dceb31906886adcfae04e13dba8/220x340q80/books79/789308/cover.jpg?1613118319
Совершенный алгоритм. Алгоритмы для NP-трудных задач,На складе,Питер:            Библиотека программиста,2421,1888,22,Рафгарден Тим,https://img3.labirint.ru/rc/d00a5ee9862f40483051e09079e7684f/220x340q80/books79/789119/cover.jpg?1612967134
"Стильный Java. Код, который работает всегда и везде",На складе,Питер:            Библиотека программиста,3116,2430,22,Фаэлла Марко,https://img4.labirint.ru/rc/7194714103a34a9cf545a71e22f5777c/220x340q80/books79/789120/cover.jpg?1612959909
Внедрение зависимостей на платформе .NET,На складе,Питер:            Для профессионалов,4159,3244,22,"Симан Марк, Дерсен Стивен Ван",https://img3.labirint.ru/rc/bdd81fd435b38aeacf8774d2c29fd659/220x340q80/books79/789121/cover.jpg?1612959910
Карьера программиста,На складе,Питер:            Библиотека программиста,2727,2127,22,Лакман Макдауэлл Гейл,https://img3.labirint.ru/rc/cb3ba655f30d2a54129e7c8da239435b/220x340q80/books54/534569/cover.jpg?1598873160
Глубокое обучение. Легкая разработка проектов на Python,На складе,Питер:            Бестселлеры O`Reilly,3719,2901,22,Вейдман Сет,https://img4.labirint.ru/rc/5b80f4445f13d7531633db30b9c960d0/220x340q80/books79/788336/cover.jpg?1612352413
Паттерны проектирования для C# и платформы .NET Core,На складе,Питер:            Для профессионалов,4291,3347,22,"Арораа Гаурав, Чилберто Джеффри",https://img3.labirint.ru/rc/7860c92dc7a8e6effb842175bc290a38/220x340q80/books79/788337/cover.jpg?1612531535
Структуры и алгоритмы обработки данных. Учебник для СПО,Ограничено,Лань:            Компьютеры и программное обеспечение,1739,956,45,"Павлов Леонид Александрович, Первова Наталия Викторовна",https://img4.labirint.ru/rc/e9515f1aeada124a21ace952cc5f9d07/220x340q80/books79/786032/cover.jpg?1611843921
Численные методы и программирование. Учебное пособие для СПО,На складе,Лань:            Компьютеры и программное обеспечение,4882,2685,45,Слабнов Виктор Дмитриевич,https://img3.labirint.ru/rc/4ed3bf29d00feaaa6d5ebb9cfd5ca45e/220x340q80/books79/786067/cover.jpg?1611314719
Технология разработки программного обеспечения. Учебное пособие для СПО,Ограничено,Лань:            Компьютеры и программное обеспечение,2933,1613,45,Зубкова Татьяна Михайловна,https://img4.labirint.ru/rc/c71c0ee8764c8b99f4704d930d44ec80/220x340q80/books79/786076/cover.jpg?1611314720
Изучаем C++ через программирование игр,На складе,Питер,1817,1417,22,Доусон Майкл,https://img4.labirint.ru/rc/dfb038bbf05f878bc23f3b0954a2b229/220x340q80/books51/500180/cover.jpg?1646900712
Совершенный софт. Совершенный софт - совершенная карьера,На складе,Питер:            Для профессионалов,2839,2214,22,Леве Джувел,https://img3.labirint.ru/rc/72c8a60f3e52500561a3ce529ccca75d/220x340q80/books79/785385/cover.jpg?1610619915
"Spark в действии. С примерами Java, Python и Scala",На складе,ДМК-Пресс,5116,2814,45,Перрен Жан-Жорж,https://img4.labirint.ru/rc/4c2f68d7da56fa71595cbd05166d7bf0/220x340q80/books79/784236/cover.jpg?1609864010
Изучаем Power Query. Наглядный подход к подключению и преобразованию данных из множества источников,На складе,ДМК-Пресс,2693,1481,45,"Фоукс Линда, Спарроу Уоррен",https://img3.labirint.ru/rc/44408edb6b0643e56e5d6b9b9b558d9a/220x340q80/books79/784237/cover.jpg?1609864011
Секреты Python Pro,На складе,Питер:            Для профессионалов,3059,2386,22,Хиллард Дейн,https://img4.labirint.ru/rc/86d3631934cc136dab6bc980fbb3b3e4/220x340q80/books79/784210/cover.jpg?1612880733
Программирование на Python в примерах и задачах,На складе,Бомбора:            Российский компьютерный бестселлер,1596,1165,27,Васильев Алексей Николаевич,https://img3.labirint.ru/rc/553d66dc16310b4f39b003472cfa60d8/220x340q80/books79/783905/cover.jpg?1608884707
Моделирование и оптимизация процессов управления в технологических системах. Учебник,На складе,Кнорус:            Магистратура,1763,970,45,"Колтунов Игорь Ильич, Крыжановская Татьяна Георгиевна",https://img3.labirint.ru/rc/3bae402dc28ce522ef45b71e1be5a6d0/220x340q80/books79/783073/cover.jpg?1610353503
Квантовые вычисления. Прикладной подход,На складе,ДМК-Пресс,2693,1481,45,Хидари Джек Д.,https://img3.labirint.ru/rc/fc0f396b4b7f5af56e2ceab1373dfbd7/220x340q80/books79/780279/cover.jpg?1607592382
JavaScript. Полное руководство,На складе,Вильямс,7778,4278,45,Флэнаган Дэвид,https://img4.labirint.ru/rc/a1a3056eaca2ae7aef7b92f78e7d0251/220x340q80/books78/779734/cover.jpg?1606922748
Проектирование информационных систем. Методы и средства структурно-функционального проектирования,Ограничено,Лань:            Компьютеры и программное обеспечение,1582,870,45,"Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",https://img3.labirint.ru/rc/56b089e5e841af964120f29acdd72e75/220x340q80/books78/779887/cover.jpg?1608722713
Структуры дан.в C#.Лин.и нелин.динамич.структ.СПО,Ограничено,Лань:            Компьютеры и программное обеспечение,1686,927,45,Симонова Елена Витальевна,https://img3.labirint.ru/rc/f3e069585fb01753c9aa38509a0bbf1d/220x340q80/books78/779889/cover.jpg?1608823531
"Проектирование информационных систем. Стандартизация, техническое документирование информ. систем",Ограничено,Лань:            Компьютеры и программное обеспечение,2077,1142,45,"Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",https://img4.labirint.ru/rc/9575d46a81507574430b14840f1559e2/220x340q80/books78/779898/cover.jpg?1608823533
Системы отображения информации. Дискретные индикаторы. Учебник для вузов,На складе,Лань:            Компьютеры и программное обеспечение,3228,1775,45,Смирнов Виктор Михайлович,https://img4.labirint.ru/rc/ea889493298bb4aa05cbef5a878dc6d8/220x340q80/books78/779906/cover.jpg?1607509586
"Инфокоммуникационные системы. Протоколы,интерфейсы. Практикум. СПО",На складе,Лань:            Компьютеры и программное обеспечение,2716,1494,45,Журавлев Антон Евгеньевич,https://img4.labirint.ru/rc/8acddfce82ad81b1a91446c854b2948a/220x340q80/books78/779910/cover.jpg?1607685956
Нечеткое моделирование и управление в технических системах. Учебное пособие для вузов,На складе,Лань:            Компьютеры и программное обеспечение,2933,1613,45,Кудинов Юрий Иванович и др.,https://img3.labirint.ru/rc/7f64e26222761fa32af0b14360dd104a/220x340q80/books78/779911/cover.jpg?1638350720
Мультимедийные технологии. Учебник для СПО,Ограничено,Лань:            Компьютеры и программное обеспечение,4425,2434,45,Катунин Геннадий Павлович,https://img3.labirint.ru/rc/193bbe9cdd0fe606c89c774d57c75529/220x340q80/books78/779915/cover.jpg?1607509638
"Swift. Основы разработки приложений под iOS, iPadOS и macOS",На складе,Питер:            Библиотека программиста,2531,1974,22,Усов Василий,https://img4.labirint.ru/rc/a5245806ebb8911993e7febf02983c60/220x340q80/books78/779712/cover.jpg?1610987112
Система модулей Java,На складе,Питер:            Для профессионалов,3279,2558,22,Парлог Николай,https://img3.labirint.ru/rc/ba0c05da6f5782cba368a89980f9bc62/220x340q80/books78/778139/cover.jpg?1606562791
Игровой движок. Программирование и внутреннее устройство,На складе,Питер:            Для профессионалов,7000,5460,22,Грегори Джейсон,https://img4.labirint.ru/rc/d180525d44d95df98e4ffab05a4fbd22/220x340q80/books78/777006/cover.jpg?1605875180
Принципы юнит-тестирования,На складе,Питер:            Для профессионалов,1811,1413,22,Хориков Владимир,https://img3.labirint.ru/rc/bef094bd7dd0a840fdf48fe26a0f10c2/220x340q80/books78/777259/cover.jpg?1605875182
Простой Python. Современный стиль программирования,На складе,Питер:            Бестселлеры O`Reilly,2619,2043,22,Любанович Билл,https://img4.labirint.ru/rc/50f7b41731c424e149d3c90fa4b20b82/220x340q80/books78/777260/cover.jpg?1605875183
Kotlin. Сборник рецептов. Предметный подход,На складе,ДМК-Пресс,2153,1184,45,Коузен Кен,https://img4.labirint.ru/rc/c52a1571759a5be6737c43ae5bc2b7b8/220x340q80/books78/776186/cover.jpg?1605536829
Олимпиадное программирование,На складе,ДМК-Пресс,2826,1554,45,Лааксонен Антти,https://img4.labirint.ru/rc/bb6b04dfcd96034640dcfc4e08ab130f/220x340q80/books78/776224/cover.jpg?1605525967
Алгоритмы и структуры данных. Учебное пособие,На складе,Кнорус:            Бакалавриат,1960,1078,45,Мясникова Нелли Александровна,https://img4.labirint.ru/rc/41f367e5995e2cd992211e87b3ddf489/220x340q80/books64/632478/cover.jpg?1564079999
Компьютерная арифметика. Учебное пособие. СПО (+CD),Ограничено,Лань:            Компьютеры и программное обеспечение,1470,809,45,Иорданский Михаил Анатольевич,https://img3.labirint.ru/rc/9b1431264de914055d09002e6d1dcee6/220x340q80/books78/774615/cover.jpg?1605032837
Программирование. Практикум. Учебное пособие,Ограничено,Лань:            Компьютеры и программное обеспечение,683,376,45,Быкадорова Елена Анатольевна,https://img3.labirint.ru/rc/00bcf60a2ded5d05245f2f43f5275211/220x340q80/books78/774623/cover.jpg?1605032843
Системное программное обеспечение информационных мультимедиасистем. Учебное пособие,На складе,Лань:            Компьютеры и программное обеспечение,945,520,45,"Иванько Александр Федорович, Иванько Михаил Александрович",https://img4.labirint.ru/rc/0c517bc7f4ae409c5c6e177fc67afecb/220x340q80/books78/774628/cover.jpg?1605032846
Распределенные системы,На складе,ДМК-Пресс,5116,2814,45,"Таненбаум Эндрю, Стин ван Мартен",https://img3.labirint.ru/rc/a8b9e8e77399b1c879d27c862a4b79bd/220x340q80/books78/775111/cover.jpg?1604842060
Основы алгоритмизации и программирования на PythonОсновы алгоритмизации и программирования на Python,На складе,Форум:            Высшее образование: Бакалавриат,4511,2481,45,Гуриков Сергей Ростиславович,https://img4.labirint.ru/rc/f066bf5734e2e4b525bfc9b92c8c9ca2/220x340q80/books78/774752/cover.jpg?1604906757
Алгебра и геометрия с примерами на Python. Учебное пособие,На складе,Лань:            Компьютеры и программное обеспечение,5663,3115,45,"Борзунов Сергей Викторович, Кургалин Сергей Дмитриевич",https://img4.labirint.ru/rc/23538bd07568b62e93869c0989b6feb1/220x340q80/books78/774216/cover.jpg?1623072400
Организация и архитектура ЭВМ. Вычислительные системы. Учебное пособие,На складе,Лань:            Компьютеры и программное обеспечение,1791,985,45,Журавлев Антон Евгеньевич,https://img3.labirint.ru/rc/879bd2c61a2aa301036a5b7a6fda8792/220x340q80/books78/774223/cover.jpg?1604752054
Корпоративные информационные системы. Администрирование сетевого домена. Учебное пособие,Ограничено,Лань:            Компьютеры и программное обеспечение,2322,1277,45,Журавлев Антон Евгеньевич и др.,https://img4.labirint.ru/rc/94999c7d3af3ffd794967702fc30fe28/220x340q80/books78/774232/cover.jpg?1627388950
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,На складе,ИНФРА-М:            Среднее профессиональное образование,3396,1868,45,Гуриков Сергей Ростиславович,https://img3.labirint.ru/rc/e3547e6d6591e3ccb48ae695641373cd/220x340q80/books78/773783/cover.jpg?1604330750
Hello World! Программирование для детей и взрослых,На складе,ДМК-Пресс,2960,1628,45,"Сэнд Уоррен, Сэнд Картер",https://img3.labirint.ru/rc/8187d36fd2d7b2517e2947950f9b7c0d/220x340q80/books78/773257/cover.jpg?1603711583
Методология создания информационных систем. Учебное пособие,На складе,ИНФРА-М:            Среднее профессиональное образование,2981,1640,45,"Карминский Александр Маркович, Черников Борис Васильевич",https://img3.labirint.ru/rc/95ed4fc97b5847fa88ffaa7dd9002a8c/220x340q80/books78/772627/cover.jpg?1604157984
"Разработка бизнес-приложений на платформе ""1С: Предприятие"". Учебное пособие",Ограничено,ИНФРА-М:            Среднее профессиональное образование,3033,1668,45,Дадян Эдуард Григорьевич,https://img3.labirint.ru/rc/2fea8eab397be4e94eee331e8547708c/220x340q80/books78/772629/cover.jpg?1604208312
Время UNIX. A History and a Memoir,На складе,Питер:            Библиотека программиста,1706,1331,22,Керниган Брайан,https://img4.labirint.ru/rc/3fef1b2c9cee54dc92c9f8269883f45e/220x340q80/books78/771972/cover.jpg?1603383965
Проектирование информационных систем. Учебное пособие. СПО,На складе,Лань:            Компьютеры и программное обеспечение,3076,1692,45,Вейцман Владимир Моисеевич,https://img3.labirint.ru/rc/7d7af483d4a2aaa69ec8946829195f59/220x340q80/books78/772001/cover.jpg?1603815962
"Интеграция управления программой и системной инженерии. Методы, инструменты и организационные систем",На складе,ДМК-Пресс,4038,2221,45,Мицуфуджи Акио и др.,https://img3.labirint.ru/rc/e943ba490298f417af0a18f5456997f1/220x340q80/books78/771291/cover.jpg?1603121173
Современный JavaScript для нетерпеливых,На складе,ДМК-Пресс,2960,1628,45,Хорстман Кэй С.,https://img4.labirint.ru/rc/f6c9f3e29baef8a07d88771ae9d4aed4/220x340q80/books78/771292/cover.jpg?1603121174
Инфокоммуникационные системы. Учебник,На складе,Лань:            Компьютеры и программное обеспечение,4069,2238,45,"Журавлев Антон Евгеньевич, Макшанов Андрей Владимирович",https://img4.labirint.ru/rc/f04b3d7692fc05480c42ef39356a5d9c/220x340q80/books78/771556/cover.jpg?1603211108
Инфокоммуникационные системы. Учебник,На складе,Лань:            Компьютеры и программное обеспечение,3947,2171,45,Журавлев Антон Евгеньевич и др.,https://img3.labirint.ru/rc/7d3e33326c4f0e31c214667dc38e59d3/220x340q80/books78/771557/cover.jpg?1603211109
Программирование на Rust. Официальный гайд,На складе,Питер:            Для профессионалов,4379,3416,22,"Клабник Стив, Николс Кэрол",https://img4.labirint.ru/rc/791769a8333df3d7744ab88d63ecee9b/220x340q80/books77/769164/cover.jpg?1602159910
Проектирование информационных систем. Учебное пособие,На складе,Форум:            Высшее образование: Бакалавриат,4174,2296,45,Коваленко Владимир Васильевич,https://img4.labirint.ru/rc/47034444816e7360f0428309d5144afa/220x340q80/books77/768606/cover.jpg?1607520359
Профессиональный TypeScript. Разработка масштабируемых JavaScript-приложений,На складе,Питер:            Бестселлеры O`Reilly,2179,1700,22,Черный Борис,https://img3.labirint.ru/rc/ddff448ec318813ddd4b8ad635db5484/220x340q80/books77/768691/cover.jpg?1601803628
"Подробное руководство по DAX: бизнес-аналитика с Microsoft Power Bl, SQL Server Analysis Services",На складе,ДМК-Пресс,5518,3035,45,"Феррари Альберто, Руссо Марко",https://img3.labirint.ru/rc/50d724ec58ae6fca4fd564931088bb03/220x340q80/books77/768443/cover.jpg?1601803607
Хаос-инжиниринг,На складе,ДМК-Пресс,2693,1481,45,"Розенталь Кейси, Джонс Нора",https://img3.labirint.ru/rc/d964de114e9f02033a5a9c96f0df8b5f/220x340q80/books77/766759/cover.jpg?1601044049
Цифровая обработка сигналов на системном уровне с использованием LabVIEW,Ограничено,ДМК-Пресс,2423,1333,45,"Кехтарнаваз Насер, Ким Намджин",https://img4.labirint.ru/rc/938a2ac541767025843c4e69b16c420e/220x340q80/books77/766760/cover.jpg?1601054778
Основы программирования. Учебник с практикумом,Ограничено,Кнорус:            Среднее профессиональное образование,2549,1402,45,Макарова Наталья Владимировна и др.,https://img3.labirint.ru/rc/2db8472d0905cc61924ed255a5aa064e/220x340q80/books57/560537/cover.jpg?1600889109
"Дискретная оптимизация. Модели, методы, алгоритмы решения прикладных задач",На складе,Солон-пресс:            Библиотека профессионала,989,544,45,Струченков Валерий Иванович,https://img4.labirint.ru/rc/7d27d290f316f0128a6acad76924e47d/220x340q80/books53/520622/cover.jpg?1563882016
Базы данных. Учебник,Ограничено,Кнорус:            Среднее профессиональное образование,2157,1186,45,Кумскова Ирина Александровна,https://img3.labirint.ru/rc/b751d5f0d8ea651500241e7aaaded324/220x340q80/books23/227293/cover.jpg?1603697107
Спортивное программирование,На складе,ДМК-Пресс,4306,2368,45,"Халим Стивен, Халим Феникс",https://img4.labirint.ru/rc/503178051ecca333ee2fe90630747e2b/220x340q80/books77/765518/cover.jpg?1600089973
Python и наука о данных для чайников,На складе,Диалектика,3976,2187,45,"Мюллер Джон Пол, Массарон Лука",https://img3.labirint.ru/rc/384aefa2222e0a4fdca45ab049816182/220x340q80/books77/764415/cover.jpg?1599211511
Криптография - наука о тайнописи. Учебное пособие,На складе,Прометей,648,356,45,Фомичев Владимир Михайлович,https://img4.labirint.ru/rc/aea546466f469546ca9b74a3da25d7db/220x340q80/books77/762904/cover.jpg?1599927903
Искусство тестирования программ,На складе,Диалектика,5186,2852,45,Сандлер Кори и др.,https://img3.labirint.ru/rc/368efe7401b2bf53892c3809019728c4/220x340q80/books77/764245/cover.jpg?1599132412
Прикладное программирование. Учебное пособие,Ограничено,Лань:            Среднее профессиональное образование,1033,568,45,Никифоров Сергей Николаевич,https://img3.labirint.ru/rc/7c83f98b01eb03729e324f120c0a80c4/220x340q80/books77/762553/cover.jpg?1599567909
Python для программирования криптовалют,На складе,Диалектика,6567,3612,45,Сонг Джимми,https://img4.labirint.ru/rc/4771dc9bbe8c553d8c97731e781e875a/220x340q80/books77/762770/cover.jpg?1598430300
"Мифический человеко-месяц, или Как создаются программные системы",На складе,Питер:            Библиотека программиста,2192,1710,22,Брукс Фредерик,https://img4.labirint.ru/rc/a5bbb108a90b87a50cb23e4f5e022c2d/220x340q80/books77/761574/cover.jpg?1598336869
"Разработка приложений на С++ с использованием Boost. Рецепты, упрощающие разработку вашего приложени",На складе,ДМК-Пресс,3230,1777,45,Полухин Антон,https://img3.labirint.ru/rc/3d7cbc6132683f1a3225320819bc588d/220x340q80/books77/761225/cover.jpg?1597922764
Введение в язык Pascal. Учебное пособие,На складе,Кнорус:            Среднее профессиональное образование,1960,1078,45,Абрамов Владимир Геннадьевич и др.,https://img3.labirint.ru/rc/c4ea783fd8e71eb3d8778c4d06d2c07d/220x340q80/books61/601569/cover.jpg?1564034357
Разработка и реализац.портальн.решений: Практикум,Ограничено,Прометей,1037,570,45,"Лукьянов Павел Борисович, Маркова Светлана Владимировна",https://img3.labirint.ru/rc/c9f9961762625c62b146c11c6fdd9200/220x340q80/books76/756301/cover.jpg?1597332345
Транспортная логистика (линейное программирование). Учебное пособие,На складе,Прометей,1037,570,45,Пашков Николай Николаевич,https://img4.labirint.ru/rc/c0fc580d01f251bd13b8c7eeade3b29a/220x340q80/books76/756304/cover.jpg?1597332348
Генетические алгоритмы на Python,На складе,ДМК-Пресс,3499,1924,45,Вирсански Эйял,https://img3.labirint.ru/rc/53ba061c18727058d8793d033dcc1f22/220x340q80/books76/756485/cover.jpg?1595064367
C#. Основы программирования. Учебное пособие,На складе,Лань:            Учебники для вузов. Специальная литература,3283,1806,45,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",https://img4.labirint.ru/rc/40344fa4396ddc97fc249d5dfb79608f/220x340q80/books60/598758/cover.jpg?1616171102
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,На складе,Лань:            Учебники для вузов. Специальная литература,1264,695,45,Залогова Любовь Алексеевна,https://img4.labirint.ru/rc/386cd17905c3cbfb3d2456e7fc9759cd/220x340q80/books76/755512/cover.jpg?1616171107
"Golang для профи. Работа с сетью, многопоточность, структуры данных и машинное обучение с Go",На складе,Питер:            Для профессионалов,5676,4427,22,Цукалос Михалис,https://img4.labirint.ru/rc/e84edfc20d4a58f5f1c11deb395f88d6/220x340q80/books76/755878/cover.jpg?1594574841
Эффективный TypeScript. 62 способа улучшить код,На складе,Питер:            Бестселлеры O`Reilly,2199,1715,22,Вандеркам Дэн,https://img4.labirint.ru/rc/eedc4a35ff208d642345d0367161a348/220x340q80/books76/755880/cover.jpg?1594574843
Istio. Приступаем к работе,На складе,ДМК-Пресс,2693,1481,45,"Калькот Ли, Бутчер Зак",https://img4.labirint.ru/rc/1b5786c32d419973a51fbfbe43fd9d9e/220x340q80/books76/755900/cover.jpg?1594405653
Проектирование веб-API,На складе,ДМК-Пресс,3230,1777,45,Лоре Арно,https://img4.labirint.ru/rc/652043b09bb549d8cf20b1b307ab791e/220x340q80/books76/754820/cover.jpg?1594052743
Глубокое обучение в картинках. Визуальный гид по искусственному интеллекту,Ограничено,Питер:            Библиотека программиста,2179,1700,22,Крон Джон и др.,https://img3.labirint.ru/rc/4af4e9be2391527062198c595b035530/220x340q80/books76/751509/cover.jpg?1592051198
Глубокое обучение с подкреплением. AlphaGo и другие технологии,На складе,Питер:            Для профессионалов,3454,2694,22,Лапань Максим,https://img4.labirint.ru/rc/088614ecb4a63d764b003af2861941a4/220x340q80/books76/751510/cover.jpg?1592051198
Spring Boot 2. Лучшие практики для профессионалов,На складе,Питер:            Библиотека программиста,3490,2722,22,Гутьеррес Фелипе,https://img4.labirint.ru/rc/6e8c0349202bc8854d0a7105f5d75105/220x340q80/books76/751512/cover.jpg?1592051200
"Python. Искусственный интеллект, большие данные и облачные вычисления",На складе,Питер:            Для профессионалов,4399,3431,22,"Дейтел Пол Дж., Дейтел Харви",https://img3.labirint.ru/rc/949dd2ea5ca2ebdfe060ebf0b9e9f2f0/220x340q80/books76/751513/cover.jpg?1592051201
