name,status,publisher,price_old,price_new,discount,authors,img_url
Apache Airflow и конвейеры обработки данных,На складе,ДМК-Пресс,5116,2814,45,"Харенслак Бас, Руйтер Джулиан де",https://img4.labirint.ru/rc/c12e23ef898055992edfc968e231f8ed/220x340q80/books84/834612/cover.jpg?1638897938
Python для всех,На складе,ДМК-Пресс,1748,961,45,Северанс Чарльз Р.,https://img3.labirint.ru/rc/d038254c796fb68ffc659fa352ff63f8/220x340q80/books84/834613/cover.jpg?1638897939
Практикум по проектированию на языках VerilogHDL и SystemVerilog. Учебное пособие,На складе,Лань:            Учебники для вузов. Специальная литература,1356,746,45,"Мурсаев Александр Хафизович, Буренева Ольга Игоревна",https://img4.labirint.ru/rc/d092e7899ade3c54217b3d8087358534/220x340q80/books60/598756/cover.jpg?1645025107
Использование языка Python в теории вероятности. Учебник,Ограничено,Прометей,2852,1569,45,Криволапов Сергей Яковлевич,https://img4.labirint.ru/rc/e7678e67503f1f1f980c86371b117bef/220x340q80/books84/834626/cover.jpg?1638699911
Экономика на Python. Учебник,На складе,Прометей,2074,1141,45,"Хрипунова Марина Борисовна, Губернаторов Алексей Михайлович",https://img4.labirint.ru/rc/e1a09fd1aef4d3e2fd9821e47ea63a41/220x340q80/books84/834636/cover.jpg?1640535903
Black Hat Python. Программирование для хакеров и пентестеров,На складе,Питер:            Библиотека программиста,2164,1688,22,"Зейтц Джастин, Арнольд Тим",https://img4.labirint.ru/rc/f5913cd4f67c73e4cd7b2e56eddd1174/220x340q80/books84/834362/cover.jpg?1637666760
Однострочники Python. Лаконичный и содержательный код,На складе,Питер:            Библиотека программиста,2164,1688,22,Майер Кристиан,https://img3.labirint.ru/rc/e76cea6f4b44de2e2e91b2d6e69953de/220x340q80/books84/834363/cover.jpg?1637666760
Гид Java-разработчика. Проектно-ориентированный подход,На складе,Бомбора:            Мировой компьютерный бестселлер,1122,819,27,"Урма Рауль-Габриэль, Уорбэртон Ричард",https://img4.labirint.ru/rc/b71553b6f404064540e8794f82958257/220x340q80/books84/834110/cover.jpg?1637666747
"PHP 8. Объекты, шаблоны и методики программирования",На складе,Диалектика,7778,4278,45,Зандстра Мэтт,https://img3.labirint.ru/rc/bb21af9d23762bd1dbc4f2b868106c57/220x340q80/books84/832441/cover.jpg?1636986384
Python и DevOps. Ключ к автоматизации Linux,На складе,Питер:            Бестселлеры O`Reilly,3283,2561,22,Гифт Ной и др.,https://img4.labirint.ru/rc/5e52e6a24a42e4d06ddae5b13116e4a6/220x340q80/books84/832978/cover.jpg?1637141113
Прикладное программирование на С/С++: с нуля,На складе,Солон-пресс:            Программирование,1347,741,45,Иванов Всеволод Борисович,https://img3.labirint.ru/rc/70b4103434a21a0dce381136a41ac42f/220x340q80/books65/648331/cover.jpg?1564119245
Введение в логическое программирование,На складе,ДМК-Пресс,2423,1333,45,"Дженесерет Майкл, Чаудри Винай К.",https://img3.labirint.ru/rc/329f737819447147877274cedaf11f04/220x340q80/books84/831911/cover.jpg?1637231159
Параллельное программирование на C# и .NET Core,На складе,ДМК-Пресс,2826,1554,45,Шакти Танвар,https://img3.labirint.ru/rc/593dde2eef2497bdd5a0a2aaedfdd52a/220x340q80/books84/831913/cover.jpg?1637231161
Параллельные и высокопроизводительные вычисления,На складе,ДМК-Пресс,6192,3406,45,"Роби Роберт, Замора Джулиана",https://img4.labirint.ru/rc/e019001c6b4a2057e33b0e8fc5611afa/220x340q80/books83/829950/cover.jpg?1636374311
Исследование операций в экономике. Практикум. Учебное пособие для вузов,Ограничено,Лань:            Компьютеры и программное обеспечение,3791,2085,45,Слабнов Виктор Дмитриевич,https://img3.labirint.ru/rc/99e5ebc3db177f02a651a0a9a50592f6/220x340q80/books84/830645/cover.jpg?1636723516
"Паттерны разработки на Python. TDD, DDD и событийно-ориентированная архитектура",На складе,Питер:            Для профессионалов,2727,2127,22,"Персиваль Гарри, Грегори Боб",https://img3.labirint.ru/rc/64ebbaca1282e91768d6dd2eaf176ea2/220x340q80/books84/830329/cover.jpg?1635416711
WebAssembly в действии,На складе,Питер:            Библиотека программиста,3619,2823,22,Галлан Жерар,https://img4.labirint.ru/rc/702f7e44686cc57d8133f24edf083f0b/220x340q80/books84/830330/cover.jpg?1635416712
Тестирование программного обеспечения,Ограничено,Лань:            Компьютеры и программное обеспечение,632,348,45,Игнатьев Александр Владимирович,https://img4.labirint.ru/rc/026e42114869309f69dd2ace13214a12/220x340q80/books83/829644/cover.jpg?1638257103
Разработка моделей предметной области автоматизации. Учебник для вузов,На складе,Лань:            Компьютеры и программное обеспечение,4425,2434,45,Котлинский Сергей Владимирович,https://img3.labirint.ru/rc/55aa803f3c5091d31bf0342aa76ad55a/220x340q80/books83/829645/cover.jpg?1635693902
Разработка моделей предметной области автоматизации. Учебник для СПО,На складе,Лань:            Компьютеры и программное обеспечение,4003,2202,45,Котлинский Сергей Владимирович,https://img4.labirint.ru/rc/67e619716a49ab523ca400e43a8fd6af/220x340q80/books83/829646/cover.jpg?1635693903
Тестирование программного обеспечения. Учебное пособие для СПО,На складе,Лань:            Компьютеры и программное обеспечение,632,348,45,Игнатьев Александр Владимирович,https://img4.labirint.ru/rc/25d06b1b277fb9e17de70bc6afbb8107/220x340q80/books83/829648/cover.jpg?1638257105
Проектирование человеко-машинного взаимодействия. Учебник для вузов,На складе,Лань:            Компьютеры и программное обеспечение,715,393,45,Игнатьев Александр Владимирович,https://img4.labirint.ru/rc/bcbcef425fc02946cfcfd235d10ec94d/220x340q80/books83/829650/cover.jpg?1638257105
Программные коллекции данных. Проектирование и реализация. Учебник,Ограничено,Лань:            Компьютеры и программное обеспечение,2318,1275,45,Романенко Татьяна Александровна,https://img3.labirint.ru/rc/aee0060ec3f6657d47bac03c0318f359/220x340q80/books83/829651/cover.jpg?1636889152
